subAU,year,value,ens,scen,rcp
rus1_sz2,2096,0.07963240642162,ens1,Pol,2p6
rus1_sz3,2096,0.10741293951344491,ens1,Pol,2p6
rus1_sz4,2096,0.10741293951344491,ens1,Pol,2p6
rus1_sz5,2096,0.049015648932442556,ens1,Pol,2p6
rus1_sz2,2097,0.07457985791222292,ens1,Pol,2p6
rus1_sz3,2097,0.10059776072109247,ens1,Pol,2p6
rus1_sz4,2097,0.10059776072109247,ens1,Pol,2p6
rus1_sz5,2097,0.04590568459657256,ens1,Pol,2p6
rus1_sz2,2098,0.06952730940282582,ens1,Pol,2p6
rus1_sz3,2098,0.09378258192874,ens1,Pol,2p6
rus1_sz4,2098,0.09378258192874,ens1,Pol,2p6
rus1_sz5,2098,0.04279572026070255,ens1,Pol,2p6
rus1_sz2,2099,0.06447476089342874,ens1,Pol,2p6
rus1_sz3,2099,0.08696740313638757,ens1,Pol,2p6
rus1_sz4,2099,0.08696740313638757,ens1,Pol,2p6
rus1_sz5,2099,0.03968575592483255,ens1,Pol,2p6
rus1_sz2,2100,0.05942221238403166,ens1,Pol,2p6
rus1_sz3,2100,0.08015222434403513,ens1,Pol,2p6
rus1_sz4,2100,0.08015222434403513,ens1,Pol,2p6
rus1_sz5,2100,0.03657579158896255,ens1,Pol,2p6
rus1_sz2,1990,0,ens10,Pol,2p6
rus1_sz3,1990,0,ens10,Pol,2p6
rus1_sz4,1990,0,ens10,Pol,2p6
rus1_sz5,1990,0,ens10,Pol,2p6
rus1_sz2,2005,0,ens10,Pol,2p6
rus1_sz3,2005,0,ens10,Pol,2p6
rus1_sz4,2005,0,ens10,Pol,2p6
rus1_sz5,2005,0,ens10,Pol,2p6
rus1_sz2,2010,0,ens10,Pol,2p6
rus1_sz3,2010,0,ens10,Pol,2p6
rus1_sz4,2010,0,ens10,Pol,2p6
rus1_sz5,2010,0,ens10,Pol,2p6
rus1_sz2,2015,1.360650217679178,ens10,Pol,2p6
rus1_sz3,2015,1.8353261705632624,ens10,Pol,2p6
rus1_sz4,2015,1.8353261705632624,ens10,Pol,2p6
rus1_sz5,2015,0.8375127210962584,ens10,Pol,2p6
rus1_sz2,2016,1.354905037308963,ens10,Pol,2p6
rus1_sz3,2016,1.827576728604515,ens10,Pol,2p6
rus1_sz4,2016,1.827576728604515,ens10,Pol,2p6
rus1_sz5,2016,0.8339764252999335,ens10,Pol,2p6
rus1_sz2,2017,1.3491598569387484,ens10,Pol,2p6
rus1_sz3,2017,1.819827286645768,ens10,Pol,2p6
rus1_sz4,2017,1.819827286645768,ens10,Pol,2p6
rus1_sz5,2017,0.8304401295036087,ens10,Pol,2p6
rus1_sz2,2018,1.3434146765685337,ens10,Pol,2p6
rus1_sz3,2018,1.812077844687021,ens10,Pol,2p6
rus1_sz4,2018,1.812077844687021,ens10,Pol,2p6
rus1_sz5,2018,0.8269038337072839,ens10,Pol,2p6
rus1_sz2,2019,1.337669496198319,ens10,Pol,2p6
rus1_sz3,2019,1.804328402728274,ens10,Pol,2p6
rus1_sz4,2019,1.804328402728274,ens10,Pol,2p6
rus1_sz5,2019,0.8233675379109591,ens10,Pol,2p6
rus1_sz2,2020,1.3319243158281044,ens10,Pol,2p6
rus1_sz3,2020,1.796578960769527,ens10,Pol,2p6
rus1_sz4,2020,1.796578960769527,ens10,Pol,2p6
rus1_sz5,2020,0.8198312421146343,ens10,Pol,2p6
rus1_sz2,2021,1.3310077436996772,ens10,Pol,2p6
rus1_sz3,2021,1.7953426336131029,ens10,Pol,2p6
rus1_sz4,2021,1.7953426336131029,ens10,Pol,2p6
rus1_sz5,2021,0.8192670700685155,ens10,Pol,2p6
rus1_sz2,2022,1.3300911715712498,ens10,Pol,2p6
rus1_sz3,2022,1.794106306456678,ens10,Pol,2p6
rus1_sz4,2022,1.794106306456678,ens10,Pol,2p6
rus1_sz5,2022,0.8187028980223965,ens10,Pol,2p6
rus1_sz2,2023,1.3291745994428226,ens10,Pol,2p6
rus1_sz3,2023,1.7928699793002538,ens10,Pol,2p6
rus1_sz4,2023,1.7928699793002538,ens10,Pol,2p6
rus1_sz5,2023,0.8181387259762778,ens10,Pol,2p6
rus1_sz2,2024,1.3282580273143951,ens10,Pol,2p6
rus1_sz3,2024,1.7916336521438294,ens10,Pol,2p6
rus1_sz4,2024,1.7916336521438294,ens10,Pol,2p6
rus1_sz5,2024,0.8175745539301589,ens10,Pol,2p6
rus1_sz2,2025,1.327341455185968,ens10,Pol,2p6
rus1_sz3,2025,1.790397324987405,ens10,Pol,2p6
rus1_sz4,2025,1.790397324987405,ens10,Pol,2p6
rus1_sz5,2025,0.81701038188404,ens10,Pol,2p6
rus1_sz2,2026,1.3268355693614615,ens10,Pol,2p6
rus1_sz3,2026,1.7897149560133883,ens10,Pol,2p6
rus1_sz4,2026,1.7897149560133883,ens10,Pol,2p6
rus1_sz5,2026,0.8166989970711459,ens10,Pol,2p6
rus1_sz2,2027,1.3263296835369551,ens10,Pol,2p6
rus1_sz3,2027,1.7890325870393713,ens10,Pol,2p6
rus1_sz4,2027,1.7890325870393713,ens10,Pol,2p6
rus1_sz5,2027,0.8163876122582517,ens10,Pol,2p6
rus1_sz2,2028,1.3258237977124487,ens10,Pol,2p6
rus1_sz3,2028,1.7883502180653545,ens10,Pol,2p6
rus1_sz4,2028,1.7883502180653545,ens10,Pol,2p6
rus1_sz5,2028,0.8160762274453577,ens10,Pol,2p6
rus1_sz2,2029,1.3253179118879421,ens10,Pol,2p6
rus1_sz3,2029,1.7876678490913376,ens10,Pol,2p6
rus1_sz4,2029,1.7876678490913376,ens10,Pol,2p6
rus1_sz5,2029,0.8157648426324634,ens10,Pol,2p6
rus1_sz2,2030,1.324812026063436,ens10,Pol,2p6
rus1_sz3,2030,1.7869854801173206,ens10,Pol,2p6
rus1_sz4,2030,1.7869854801173206,ens10,Pol,2p6
rus1_sz5,2030,0.8154534578195693,ens10,Pol,2p6
rus1_sz2,2031,1.324564064521446,ens10,Pol,2p6
rus1_sz3,2031,1.7866510147996408,ens10,Pol,2p6
rus1_sz4,2031,1.7866510147996408,ens10,Pol,2p6
rus1_sz5,2031,0.815300831565547,ens10,Pol,2p6
rus1_sz2,2032,1.324316102979456,ens10,Pol,2p6
rus1_sz3,2032,1.7863165494819608,ens10,Pol,2p6
rus1_sz4,2032,1.7863165494819608,ens10,Pol,2p6
rus1_sz5,2032,0.8151482053115244,ens10,Pol,2p6
